sample_idx,predicted_class,original_prediction,baseline_prediction,r2_mean,method,deletion_auc,insertion_auc,gap_auc,n_positive_segments
8,0,0.0268179848790168,0.0084176491945981,-0.5024927294964471,Relevancia absoluta,0.4203328765773524,0.7043485332590839,0.2840156566817314,
8,0,0.0268179848790168,0.0084176491945981,-0.5024927294964471,Solo secciones positivas,0.8594921380281448,0.002208928375587,-0.8572832096525578,17.0
9,1,0.9999997615814208,0.0084176491945981,-0.7536865885587923,Relevancia a secas,0.0590883731893218,0.986165968908204,0.9270775957188824,
9,1,0.9999997615814208,0.0084176491945981,-0.7536865885587923,Relevancia absoluta,0.3877779709631189,0.9324595779180528,0.5446816069549338,
9,1,0.9999997615814208,0.0084176491945981,-0.7536865885587923,Solo secciones positivas,0.079188811721192,0.9737882018089294,0.8945993900877374,19.0
10,1,0.999998927116394,0.0084176491945981,-1.6244379074880484,Relevancia a secas,0.2910063681678994,0.8896586819965806,0.5986523138286812,
10,1,0.999998927116394,0.0084176491945981,-1.6244379074880484,Relevancia absoluta,0.7139328981606129,0.6713907931502304,-0.0425421050103824,
10,1,0.999998927116394,0.0084176491945981,-1.6244379074880484,Solo secciones positivas,0.0312562157753522,0.7880611155705992,0.756804899795247,16.0
11,0,0.0117888813838362,0.0084176491945981,-0.4451895314720557,Relevancia a secas,0.4072873697150498,0.0275924180249502,-0.3796949516900996,
11,0,0.0117888813838362,0.0084176491945981,-0.4451895314720557,Relevancia absoluta,0.1898680345103558,0.2073587165472822,0.0174906820369263,
11,0,0.0117888813838362,0.0084176491945981,-0.4451895314720557,Solo secciones positivas,0.6694224872626364,0.0052038861067558,-0.6642186011558806,16.0
12,1,0.9528260231018066,0.0084176491945981,-0.4235710326432144,Relevancia a secas,0.2930193552781831,0.9851354824172126,0.6921161271390295,
12,1,0.9528260231018066,0.0084176491945981,-0.4235710326432144,Relevancia absoluta,0.5957844582250497,0.9297174518679236,0.333932993642874,
12,1,0.9528260231018066,0.0084176491945981,-0.4235710326432144,Solo secciones positivas,0.1049783146429123,0.964585372379848,0.8596070577369355,14.0
13,0,0.0093944799154996,0.0084176491945981,-18.57339437057269,Relevancia a secas,0.067638992694103,0.0087051891281993,-0.0589338035659036,
13,0,0.0093944799154996,0.0084176491945981,-18.57339437057269,Relevancia absoluta,0.0081664124445524,0.0086645230961342,0.0004981106515818,
13,0,0.0093944799154996,0.0084176491945981,-18.57339437057269,Solo secciones positivas,0.0867274849276457,0.0076838978122742,-0.0790435871153715,21.0
14,0,0.0175896752625703,0.0084176491945981,-0.8767314209216746,Relevancia a secas,0.2868112482182268,0.0463080634492346,-0.2405031847689922,
14,0,0.0175896752625703,0.0084176491945981,-0.8767314209216746,Relevancia absoluta,0.0516521176602206,0.5628397098690686,0.511187592208848,
